"name","time"
"__generated_at__","2026-08-27T13:46:09Z"
"add_crowding","2026-08-18T13:44:47Z"
"add_params","2026-06-16T07:16:26Z"
"add_spy_daily","2026-08-25T18:09:17Z"
"add_spy_month_start","2026-06-16T07:16:39Z"
"art_diagram_seed","2026-08-26T09:58:54Z"
"art_vignette_seed","2026-08-26T09:58:44Z"
"asset_monthly_returns","2026-08-25T18:09:07Z"
"asset_monthly_returns_wide","2026-06-26T08:53:12Z"
"avoid_worst_register_runs","2026-08-26T10:12:59Z"
"aw_alpha_decay","2026-08-18T19:30:48Z"
"aw_asymmetry_table","2026-05-18T20:42:20Z"
"aw_bootstrap_ci","2026-05-18T20:51:56Z"
"aw_clustering","2026-05-18T20:41:56Z"
"aw_clustering_caption","2026-05-18T20:42:20Z"
"aw_clustering_plot","2026-08-25T18:12:30Z"
"aw_cross_market","2026-08-25T18:12:08Z"
"aw_cumret_caption","2026-08-18T19:30:43Z"
"aw_cumret_plot","2026-08-25T18:12:07Z"
"aw_daily_ff","2026-08-25T18:09:04Z"
"aw_daily_returns","2026-08-25T18:11:32Z"
"aw_daily_rf","2026-08-18T13:38:41Z"
"aw_metrics","2026-08-18T18:06:52Z"
"aw_multi_index","2026-08-18T19:30:43Z"
"aw_net_benefit_plot","2026-08-25T18:12:29Z"
"aw_params","2026-08-16T19:04:50Z"
"aw_practical_backtest","2026-05-18T20:42:18Z"
"aw_practical_caption","2026-05-18T20:51:54Z"
"aw_practical_params","2026-04-21T22:43:27Z"
"aw_practical_plot","2026-08-25T18:12:36Z"
"aw_practical_sensitivity","2026-08-18T19:30:53Z"
"aw_remove_days","2026-08-18T19:30:43Z"
"aw_rolling","2026-05-18T20:41:55Z"
"aw_rolling_plot","2026-08-25T18:12:30Z"
"aw_subperiod","2026-05-18T20:42:19Z"
"aw_transaction_costs","2026-05-18T20:51:53Z"
"aw_vix_daily","2026-08-25T18:12:07Z"
"aw_walkforward","2026-08-18T19:30:53Z"
"aw_walkforward_curve","2026-08-25T18:12:37Z"
"backtest_results","2026-05-18T21:00:28Z"
"baseline_regime_performance","2026-05-18T21:01:12Z"
"bdbb_sol_caption","2026-06-26T11:51:26Z"
"bdbb_sol_data","2026-08-25T18:10:47Z"
"bdbb_sol_dv","2026-06-26T11:51:05Z"
"bdbb_sol_fit","2026-08-26T09:59:45Z"
