"ym","spearman_rho","pair","date"
"1995-11",0.991390874373152,"Baseline vs A",1995-11-15
"1996-04",0.988965749925077,"Baseline vs A",1996-04-15
"1996-05",0.987510675256232,"Baseline vs A",1996-05-15
"1996-06",0.990905849483537,"Baseline vs A",1996-06-15
"1996-08",0.995580664157655,"Baseline vs A",1996-08-15
"1996-09",0.995041202894632,"Baseline vs A",1996-09-15
"1996-11",0.990515427876784,"Baseline vs A",1996-11-15
"1997-01",0.993177652597025,"Baseline vs A",1997-01-15
"1997-02",0.996742211913057,"Baseline vs A",1997-02-15
"1997-05",0.998269302507984,"Baseline vs A",1997-05-15
"1997-06",0.994994710548362,"Baseline vs A",1997-06-15
"1997-07",0.996823568002209,"Baseline vs A",1997-07-15
"1997-08",0.992303884006255,"Baseline vs A",1997-08-15
"1997-09",0.998074891523263,"Baseline vs A",1997-09-15
"1997-10",0.995283037314371,"Baseline vs A",1997-10-15
"1997-11",0.994648190188686,"Baseline vs A",1997-11-15
"1998-01",0.996356021261165,"Baseline vs A",1998-01-15
"1998-04",0.99681180542904,"Baseline vs A",1998-04-15
"1998-05",0.996993718266635,"Baseline vs A",1998-05-15
"1998-07",0.999050742147049,"Baseline vs A",1998-07-15
"1998-08",0.993476009665171,"Baseline vs A",1998-08-15
"1998-09",0.996497659651075,"Baseline vs A",1998-09-15
"1998-10",0.997381216820088,"Baseline vs A",1998-10-15
"1998-11",0.993109321295365,"Baseline vs A",1998-11-15
"1999-01",0.998461588818697,"Baseline vs A",1999-01-15
"1999-04",0.997381216820088,"Baseline vs A",1999-04-15
"1999-05",0.998120305087601,"Baseline vs A",1999-05-15
"1999-07",0.991412709793955,"Baseline vs A",1999-07-15
"1999-08",0.993264873484127,"Baseline vs A",1999-08-15
"1999-09",0.988114477409034,"Baseline vs A",1999-09-15
"1999-10",0.993521075824561,"Baseline vs A",1999-10-15
"1999-11",0.989298018067663,"Baseline vs A",1999-11-15
"1999-12",0.991412709793955,"Baseline vs A",1999-12-15
"2000-01",0.99487221852591,"Baseline vs A",2000-01-15
"2000-04",0.995449805682192,"Baseline vs A",2000-04-15
"2000-06",0.99449145870814,"Baseline vs A",2000-06-15
"2000-07",0.997913224353698,"Baseline vs A",2000-07-15
"2000-09",0.994023319473255,"Baseline vs A",2000-09-15
"2000-11",0.992692542067692,"Baseline vs A",2000-11-15
"2000-12",0.993044440787997,"Baseline vs A",2000-12-15
"2001-02",0.997539377440055,"Baseline vs A",2001-02-15
"2001-04",0.994518131854023,"Baseline vs A",2001-04-15
"2001-06",0.996644665985474,"Baseline vs A",2001-06-15
"2001-07",0.994813958979557,"Baseline vs A",2001-07-15
"2001-08",0.997132494180556,"Baseline vs A",2001-08-15
"2001-09",0.996551682951522,"Baseline vs A",2001-09-15
"2001-11",0.99526721263981,"Baseline vs A",2001-11-15
"2001-12",0.996417214006933,"Baseline vs A",2001-12-15
"2002-02",0.994947689913325,"Baseline vs A",2002-02-15
"2002-05",0.995671374231734,"Baseline vs A",2002-05-15
"2002-06",0.993287229607978,"Baseline vs A",2002-06-15
"2002-08",0.988527372865134,"Baseline vs A",2002-08-15
"2002-09",0.995944239095856,"Baseline vs A",2002-09-15
"2002-11",0.994073095230751,"Baseline vs A",2002-11-15
"2003-01",0.996570317004746,"Baseline vs A",2003-01-15
"2003-02",0.995363220034707,"Baseline vs A",2003-02-15
"2003-04",0.992020812384277,"Baseline vs A",2003-04-15
"2003-05",0.991043337234291,"Baseline vs A",2003-05-15
"2003-06",0.99857395872108,"Baseline vs A",2003-06-15
"2003-07",0.995131787198429,"Baseline vs A",2003-07-15
"2003-08",0.992223298994571,"Baseline vs A",2003-08-15
"2003-09",0.99384411848295,"Baseline vs A",2003-09-15
"2003-10",0.991000305857802,"Baseline vs A",2003-10-15
"2003-11",0.997301009688501,"Baseline vs A",2003-11-15
"2004-01",0.99170697687711,"Baseline vs A",2004-01-15
"2004-04",0.994430288860365,"Baseline vs A",2004-04-15
