midx,n_stocks,ym
23558,24,1963-02
23559,24,1963-03
23560,24,1963-04
23561,25,1963-05
23562,25,1963-06
23563,25,1963-07
23564,25,1963-08
23565,25,1963-09
23566,25,1963-10
23567,25,1963-11
23568,25,1963-12
23569,25,1964-01
23570,25,1964-02
23571,25,1964-03
23572,25,1964-04
23573,25,1964-05
23574,25,1964-06
23575,25,1964-07
23576,25,1964-08
23577,25,1964-09
23578,25,1964-10
23579,25,1964-11
23580,25,1964-12
23581,25,1965-01
23582,25,1965-02
23583,25,1965-03
23584,25,1965-04
23585,25,1965-05
23586,25,1965-06
23587,25,1965-07
23588,25,1965-08
23589,25,1965-09
23590,25,1965-10
23591,25,1965-11
23592,25,1965-12
23593,25,1966-01
23594,25,1966-02
23595,25,1966-03
23596,25,1966-04
23597,25,1966-05
23598,25,1966-06
23599,25,1966-07
23600,25,1966-08
23601,25,1966-09
23602,25,1966-10
23603,25,1966-11
23604,25,1966-12
23605,25,1967-01
23606,25,1967-02
23607,25,1967-03
23608,25,1967-04
23609,25,1967-05
23610,25,1967-06
23611,25,1967-07
23612,26,1967-08
23613,26,1967-09
23614,26,1967-10
23615,26,1967-11
23616,26,1967-12
23617,26,1968-01
23618,26,1968-02
23619,26,1968-03
23620,26,1968-04
23621,26,1968-05
23622,26,1968-06
23623,26,1968-07
23624,26,1968-08
23625,26,1968-09
23626,26,1968-10
23627,26,1968-11
23628,26,1968-12
23629,26,1969-01
23630,26,1969-02
23631,26,1969-03
23632,26,1969-04
23633,26,1969-05
23634,26,1969-06
23635,26,1969-07
23636,26,1969-08
23637,26,1969-09
23638,26,1969-10
23639,26,1969-11
23640,26,1969-12
23641,26,1970-01
23642,26,1970-02
23643,26,1970-03
23644,26,1970-04
23645,26,1970-05
23646,26,1970-06
23647,26,1970-07
23648,26,1970-08
23649,26,1970-09
23650,26,1970-10
23651,26,1970-11
23652,26,1970-12
23653,26,1971-01
23654,26,1971-02
23655,26,1971-03
23656,26,1971-04
23657,26,1971-05
23658,26,1971-06
23659,26,1971-07
23660,26,1971-08
23661,26,1971-09
23662,26,1971-10
23663,26,1971-11
23664,26,1971-12
23665,26,1972-01
23666,26,1972-02
23667,26,1972-03
23668,26,1972-04
23669,26,1972-05
23670,26,1972-06
23671,26,1972-07
23672,26,1972-08
23673,26,1972-09
23674,26,1972-10
23675,26,1972-11
23676,26,1972-12
23677,26,1973-01
23678,26,1973-02
23679,26,1973-03
23680,26,1973-04
23681,26,1973-05
23682,26,1973-06
