midx,mom_tercile,max_tercile,ew_ret,n
23683,1,1,-0.02867610553485095,4
23683,1,2,0.014902584119474519,5
23683,1,3,-0.06173976958092235,5
23683,2,1,-0.030234585703138157,6
23683,2,2,-0.039700640882775945,4
23683,2,3,-0.031899112602886776,4
23683,3,1,-0.023881360425235226,4
23683,3,2,-0.08665807963161754,5
23683,3,3,0.016558538720220187,5
23684,1,1,0.06440673749657111,2
23684,1,2,0.05469074432664864,4
23684,1,3,0.11322018765038239,8
23684,2,1,0.0546630261330594,8
23684,2,2,-0.02684433755045501,3
23684,2,3,0.08002649094910885,3
23684,3,1,0.027366716910241007,4
23684,3,2,0.04241525828397917,7
23684,3,3,0.07854306059449716,3
23685,1,1,-0.03319839361459609,4
23685,1,2,-0.025593004470830204,7
23685,1,3,-0.01026075504865992,4
23685,2,1,-0.0086368356027673,9
23685,2,2,-8.481013258108128e-4,3
23685,2,3,0.07704282415002106,2
23685,3,1,0.05461586775398908,2
23685,3,2,0.07801377974741391,4
23685,3,3,0.032001818822378916,8
23686,1,1,-0.09665907886856528,2
23686,1,2,-0.10530382973264382,4
23686,1,3,-0.1852925752826976,9
23686,2,1,-0.09664214738640493,9
23686,2,2,-0.1084694611616418,2
23686,2,3,-0.3013928676563009,3
23686,3,1,-0.06823922290548196,4
23686,3,2,-0.1368805367471545,8
23686,3,3,-0.06686397054469256,2
23687,1,1,-0.036736865274624095,8
23687,1,2,-0.01614382408850973,2
23687,1,3,-0.0687577039429276,5
23687,2,1,0.0017544468905999477,6
23687,2,2,0.04006056236888485,6
23687,2,3,-0.0029371286186886114,2
23687,3,1,0,1
23687,3,2,0.05670477832378501,6
23687,3,3,0.025887911721330273,7
23688,1,1,0.010757812689846658,6
23688,1,2,0.09647590777508357,3
23688,1,3,0.15183901511100123,6
23688,2,1,-0.02077117587164861,5
23688,2,2,0.021919138344190472,8
23688,2,3,-0.049603212723079104,1
23688,3,1,-0.010779811687168406,4
23688,3,2,-0.051622635381664415,3
23688,3,3,-0.054598305045087434,7
23689,1,1,-0.05538510261157559,3
23689,1,2,-0.03237423448904789,4
23689,1,3,0.036506612841806715,8
23689,2,1,-0.0028025460661298546,8
23689,2,2,-0.002538629186271818,4
23689,2,3,-0.07912693584090974,2
23689,3,1,1.548819249161948e-4,4
23689,3,2,-2.9593344079037465e-4,6
23689,3,3,0.023497846591153615,4
23690,1,1,-0.06422083670261358,1
23690,1,2,0.05829350568392806,5
23690,1,3,-0.01692551972202454,9
23690,2,1,0.007375105789774766,8
23690,2,2,-0.01976994929820386,5
23690,2,3,0.04739226950475661,2
23690,3,1,-0.02897953511238386,6
23690,3,2,-0.045485130593977005,5
23690,3,3,-0.054760544880567405,3
23691,1,1,-0.10033969490448909,5
23691,1,2,-0.05403837102335103,7
23691,1,3,-0.05096921595681734,12
23691,2,1,-0.12603085215815088,11
23691,2,2,-0.020227551010408337,8
23691,2,3,-0.010582209724100622,5
23691,3,1,-0.004837135172408191,8
23691,3,2,-0.03136831782038775,9
23691,3,3,-0.025434903686551602,6
23692,1,1,4.1159321532266424e-4,4
23692,1,2,0.01130225376395415,9
23692,1,3,-0.020304109800241856,11
23692,2,1,-0.05540630039269773,10
23692,2,2,-0.00999642488270748,8
23692,2,3,-0.015082952568545957,6
23692,3,1,-0.07306516976065006,10
23692,3,2,0.0033713100281342573,7
23692,3,3,-0.04713252735896423,7
23693,1,1,-0.03675213918740841,8
23693,1,2,0.005754656119235008,8
23693,1,3,-0.023386397160097397,8
23693,2,1,-0.03331026800049246,9
23693,2,2,-0.003058637397846763,10
23693,2,3,-0.11196302650306185,5
23693,3,1,-0.04055554521036453,7
23693,3,2,-0.03125733379630295,6
23693,3,3,-0.007495722793659338,11
23694,1,1,-0.01670589224251562,3
23694,1,2,-0.07865667642526122,8
23694,1,3,0.019735460454211897,17
23694,2,1,-0.044623230356384574,13
23694,2,2,-0.07513101402533572,10
23694,2,3,-0.05365271761866264,4
23694,3,1,-0.07680934831578776,12
23694,3,2,-0.0633919399548269,9
23694,3,3,-0.12843277745420192,6
23695,1,1,-0.11719644205720765,6
23695,1,2,-0.0900790501351007,6
23695,1,3,-0.07900338119051864,16
23695,2,1,-0.0872189549549187,9
23695,2,2,-0.10981823885515758,12
23695,2,3,-0.07270275822776648,6
23695,3,1,-0.06634495790693964,13
23695,3,2,-0.08350672466145086,9
23695,3,3,-0.06027610066168944,5
23696,1,1,-0.08076952360295733,5
23696,1,2,-0.061588994901472585,9
23696,1,3,-0.15018847266696955,14
23696,2,1,-0.11472196704064892,13
23696,2,2,-0.1187734549105071,10
23696,2,3,-0.15549804665405945,4
23696,3,1,-0.08029294975272791,10
23696,3,2,-0.09193242769027171,8
23696,3,3,-0.1636772488861297,9
23697,1,1,0.27702376184825217,8
23697,1,2,0.25880736814772354,8
23697,1,3,0.13037526468710292,12
23697,2,1,0.15114818080185244,8
23697,2,2,0.2679716653841647,7
23697,2,3,0.14743347883204266,12
23697,3,1,0.10844467604416642,12
23697,3,2,0.0836833110719799,12
23697,3,3,0.24124310138438743,3
23698,1,1,-0.048998014991069566,8
23698,1,2,-0.06821018747647119,9
23698,1,3,-0.04747373630339676,11
23698,2,1,-0.05161057521863731,9
