midx,mom_tercile,ew_ret,n
23683,1,-0.024920739246188782,14
23683,2,-0.03341475201153428,14
23683,3,-0.031858796161280546,14
23684,1,0.089524139535914,14
23684,2,0.04263219066145977,14
23684,3,0.04585734695802211,14
23685,1,-0.023532508396589026,15
23685,2,0.005272130278407427,14
23685,3,0.04837867179119036,14
23686,1,-0.1521444436141323,15
23686,2,-0.14220691798355933,14
23686,3,-0.1072663661920392,14
23687,1,-0.04466473933924335,15
23687,2,0.017501128451395107,14
23687,3,0.03724600371371586,14
23688,1,0.08433391267535588,15
23688,2,0.0015638581908715482,14
23688,3,-0.041441092014948486,14
23689,1,-2.39956203764304e-4,15
23689,2,-0.013630625496853253,14
23689,3,0.006631093815681211,14
23690,1,0.004994467614587057,15
23690,2,0.003662375922446136,15
23690,3,-0.04039889273470646,14
23691,1,-0.062149902631987955,24
23691,2,-0.06671128460180956,24
23691,3,-0.020592233212263687,23
23692,1,-0.0049991062944075996,24
23692,2,-0.03018883826666304,24
23692,3,-0.043207509121762924,24
23693,1,-0.018127960076090265,24
23693,2,-0.037091413270758704,24
23693,3,-0.023078573749192588,24
23694,1,-0.01228100930028694,28
23694,2,-0.05726011130966693,27
23694,3,-0.08380875200400396,27
23695,1,-0.08956096615007672,28
23695,2,-0.09403725963787994,27
23695,3,-0.07094168437228593,27
23696,1,-0.1093138281952005,28
23696,2,-0.12226341878702758,27
23696,3,-0.11153645033424518,27
23697,1,0.2089697220076086,28
23697,2,0.17978477222549943,27
23697,3,0.11219500553877475,27
23698,1,-0.05457453237693435,28
23698,2,-0.03993296774643358,27
23698,3,-0.04460421301625797,27
23699,1,-0.025634990380547312,28
23699,2,-0.04966902774673624,28
23699,3,-0.006541292883826502,27
23700,1,0.2775562067886325,28
23700,2,0.15363402010042346,28
23700,3,0.11320757443482518,27
23701,1,0.059288839433412156,28
23701,2,0.07736016066669292,28
23701,3,0.05966281342544142,27
23702,1,0.09289642753049446,28
23702,2,0.04929584004691242,28
23702,3,0.03345293272863901,27
23703,1,0.04455317030892534,28
23703,2,0.03813008101154438,28
23703,3,0.049269418965705705,27
23704,1,0.061080642091723245,28
23704,2,0.05245431618309108,28
23704,3,0.09212277968793936,27
23705,1,0.04825481111555078,28
23705,2,0.05117102022039995,28
23705,3,0.06946173610833657,27
23706,1,-0.07459361507263484,28
23706,2,-0.054576836413542024,28
23706,3,-0.048321488840182975,27
23707,1,-0.04810171043140788,28
23707,2,-0.029857979492599867,28
23707,3,-0.02030167165416815,27
23708,1,-0.047016369338739344,28
23708,2,-0.037119399985490936,28
23708,3,-0.028213719627790557,27
23709,1,0.056403020875964036,28
23709,2,0.06499098057905242,28
23709,3,0.07791554735733298,27
23710,1,0.037191740421319716,28
23710,2,0.03445971937596169,28
23710,3,0.01872733878341521,27
23711,1,-0.018711409801194304,28
23711,2,-0.01617048099133449,28
23711,3,-0.019636819486260535,27
23712,1,0.10113027397880056,28
23712,2,0.11588114008672681,28
23712,3,0.15449337443392322,27
23713,1,0.007626655140177707,28
23713,2,0.0014155584867300841,28
23713,3,-0.012488538544718394,28
23714,1,0.006400260813690033,28
23714,2,0.033537411100828446,28
23714,3,0.03418071650638553,28
23715,1,-0.013712963525374405,28
23715,2,-0.0016405213054160972,28
23715,3,-0.004135477477614636,28
23716,1,-0.018006884465459595,28
23716,2,-0.02537879396904682,28
23716,3,-0.018689318440278824,28
23717,1,0.03794185953084143,28
23717,2,0.05283035472989066,28
23717,3,0.05580002930981254,28
23718,1,0.009469469210808955,28
23718,2,0.006548407576014902,28
23718,3,-0.006650149974712305,28
23719,1,-0.002757496421396069,29
23719,2,-0.0111896932530074,28
23719,3,0.008564589657913438,28
23720,1,0.018383928955687315,29
23720,2,0.037621632250317324,28
23720,3,0.028769264968348845,28
23721,1,-0.033973495286595136,29
23721,2,-0.023289729548485866,28
23721,3,-0.033116859702028115,28
23722,1,-0.023158911992645238,29
23722,2,-0.013551110636001049,28
23722,3,0.02359398634135465,28
23723,1,0.04892119891665823,29
23723,2,0.05381125095242819,28
23723,3,0.06482209670819702,28
23724,1,-0.0740086248974267,29
23724,2,-0.019609702716120763,29
23724,3,-0.033202099535552934,29
23725,1,-0.01766489018816946,29
23725,2,-0.019744925253577666,29
23725,3,-0.01333479747721513,29
23726,1,-0.0078465200984364,29
23726,2,-0.0036486595055304216,29
23726,3,0.00938772050387056,29
23727,1,-0.01591389439439998,29
23727,2,0.004612563463083263,29
23727,3,0.022766950849026652,29
23728,1,0.0012052717831044263,29
23728,2,0.0011615704445468267,29
23728,3,0.02313144619044103,29
23729,1,0.051411745982769035,29
23729,2,0.056983467780190776,29
23729,3,0.051802350735513494,29
23730,1,-0.01247431200917688,29
23730,2,0.004699159851477334,29
23730,3,-0.0037810113643647002,29
23731,1,0.013144055853744445,29
23731,2,-0.00992274866342361,29
23731,3,-0.019042250047782563,29
23732,1,-0.014762022130662671,29
23732,2,3.606833499412226e-4,29
23732,3,0.00778298934655488,29
23733,1,-0.05795716394330423,29
23733,2,-0.035578821444089415,29
23733,3,-0.03185783306216584,29
23734,1,0.029914980673709273,29
23734,2,0.054291039039499826,29
23734,3,0.04941293380201063,29
23735,1,-0.00227987572434731,29
23735,2,0.010021678808907895,29
23735,3,0.007206455670639462,29
23736,1,-0.0562385222172134,29
23736,2,-0.056249530435322506,29
23736,3,-0.04994883976685506,29
23737,1,-0.023481011839626767,29
23737,2,-0.018757767967309283,29
23737,3,0.010050741238741156,29
23738,1,0.04619717537865354,30
23738,2,0.01901425088676457,29
23738,3,0.05581671767670291,29
23739,1,0.09661026142558504,30
23739,2,0.08956092463811204,29
23739,3,0.07833547258772255,29
23740,1,0.02314852664267743,30
23740,2,0.019167422947383845,29
23740,3,0.049425972534552595,29
23741,1,-0.0022926610214272967,30
23741,2,0.0024057443659611343,29
23741,3,-0.006939839200230631,29
23742,1,0.0423874652443405,30
23742,2,0.042791368345796624,29
23742,3,0.07959280745158019,29
23743,1,0.03692880297449137,30
23743,2,0.0422524915342907,29
23743,3,0.038107207422428534,29
23744,1,-0.007682979207969444,30
23744,2,-0.02371323547036114,29
23744,3,-0.024875422381663327,29
23745,1,-0.10107794776737555,30
23745,2,-0.07586647982071032,29
23745,3,-0.1402719687093666,29
23746,1,0.016870900372660824,30
23746,2,0.027691748022221286,29
23746,3,0.03753849930626987,29
23747,1,-0.0057694344963170165,30
23747,2,0.015124960439503628,29
23747,3,0.030670418799776656,29
23748,1,0.06834969115644983,30
23748,2,0.02035792634898433,29
23748,3,0.04251085575772459,29
23749,1,-0.03351733363646365,30
23749,2,-0.03656742937888362,29
23749,3,-0.06765015835061573,29
23750,1,0.042534856849366656,30
23750,2,0.037734974344293744,29
23750,3,0.06354257291045369,29
23751,1,-0.006565034163151056,30
23751,2,0.0027379273115596507,29
23751,3,0.005032210718465498,29
23752,1,-0.004645566930862575,30
23752,2,-0.008954815376079958,29
23752,3,-0.03485040674216009,29
23753,1,0.037939604349118,30
23753,2,0.021717495635114888,30
23753,3,0.040454046149287146,29
23754,1,0.020626795856919383,30
23754,2,0.009101368091937598,30
23754,3,0.02007564905295394,29
23755,1,0.07386923833936121,30
23755,2,0.055033892102598805,30
23755,3,0.08363361954962266,29
23756,1,-0.01474855981825338,30
23756,2,-0.02340657069248247,30
23756,3,0.004427156994133357,29
23757,1,-0.09543641509732598,30
23757,2,-0.0735464363905198,30
23757,3,-0.0537898848603127,29
23758,1,0.07337764886985,30
23758,2,0.03563759550023045,30
23758,3,0.07184925779995349,29
23759,1,-0.019538485438593146,30
23759,2,0.017024810313759426,30
23759,3,0.03904754923884518,29
23760,1,0.024652245336953135,30
23760,2,0.00955208875338976,30
23760,3,0.10781453515937621,30
23761,1,-0.0512603275386651,30
23761,2,-0.06270783321400596,30
23761,3,-0.035635982924361015,30
23762,1,-0.060606069645572046,31
23762,2,-0.03640492418377896,30
23762,3,-0.10386173503351626,30
23763,1,0.08526138521041077,31
23763,2,0.058143790271179385,30
23763,3,0.024235354366706905,30
23764,1,0.05619114268721578,31
23764,2,0.055649931093145824,30
23764,3,0.044707023209923875,30
23765,1,0.034863532397869615,31
23765,2,0.023022839154398712,30
23765,3,0.01597002275206601,30
23766,1,0.06569472556212244,31
23766,2,0.0531986620638196,31
23766,3,0.1096871511232816,30
23767,1,-0.01624408854067398,31
23767,2,-0.0041724395133648645,31
23767,3,0.04368869513357148,30
23768,1,0.005436719619029679,31
23768,2,0.002715573747450158,31
23768,3,0.023620114097624635,30
23769,1,-0.023261465206846264,31
23769,2,-0.0244521169769131,31
23769,3,4.5609434652724155e-5,30
23770,1,-4.00204002496074e-4,31
23770,2,0.02077546954922668,31
23770,3,0.1250262817636633,30
23771,1,0.026287455628226725,31
23771,2,0.019496301944433286,31
23771,3,-0.015285448950752952,30
23772,1,0.013339486023098599,31
23772,2,-6.986805135416642e-4,31
23772,3,-0.04739270161348927,30
23773,1,0.0046664561972086125,31
23773,2,0.04247777345655733,31
