label,n_months,ann_ret_cagr,ann_ret_arith,ann_vol,sharpe,max_dd,skew,detection_verdict,detection_power,min_n_years_for_80pct_power,zadeh_pct
"corner: high-mom, high-MAX (lottery winners)",633,0.26114871288765107,0.2595881695683448,0.2256594782292266,1.150353495476282,-0.5711716619823463,-0.18334075067220226,adequately powered,0.9999999999676371,4.75844948547052,15
"corner: high-mom, low-MAX  (non-lottery winners, no Zadeh figure)",633,0.15788798834791629,0.15943842993700652,0.1547725222770883,1.0301468735617352,-0.42458911981628766,-0.16054431599938235,adequately powered,0.999999994420503,5.912562200790504,NA
"corner: low-mom,  high-MAX (lottery losers)",633,0.19146970453880385,0.21096790067354113,0.2756238196237854,0.7654196976208485,-0.5469999942328445,2.6341952398342823,adequately powered,0.9999450010106776,10.639675215081693,-14.8
"corner: low-mom,  low-MAX  (non-lottery losers, no Zadeh figure)",633,0.12848569861082404,0.13441918155267546,0.1627774371073662,0.8257850961494992,-0.48003212892689584,0.6195136644802353,adequately powered,0.9999911546702327,9.153173640246633,NA
single-sort: high-mom (traditional winners),633,0.19907693280399852,0.19793298038139162,0.17256531528838534,1.1470032668535546,-0.5004402603263851,-0.5815973176487985,adequately powered,0.9999999999623487,4.785786351428375,16.5
single-sort: low-mom (traditional losers),633,0.16674008606079171,0.17480361772182493,0.20067096663510983,0.87109570782942,-0.5004659129465878,0.5555823846382288,adequately powered,0.9999979822104834,8.23447139013018,0.1
"mom_plain (long high-mom, short low-mom, MAX-blind) -- GROSS",633,0.01265617264486929,0.02312936265956669,0.14147168494037324,0.1634911089757299,-0.6452862235260024,-1.561324825993872,UNDERPOWERED,0.32377214906070617,231.389433068999,NA
mom_lottery (Zadeh's construction) -- GROSS,633,-0.006918318406856083,0.048620268894803656,0.21953030994838865,0.22147405935077588,-0.9657373234198026,-5.660283219454188,UNDERPOWERED,0.4855342075060781,126.13123382708869,NA
mom_nonlottery (the control) -- GROSS,633,0.01731959430892216,0.02501924838433099,0.12515090428816625,0.19991264567072495,-0.6292041727905984,0.13568948886105808,UNDERPOWERED,0.4235798263946414,154.78620818751716,NA
mom_plain -- NET,633,-0.02189259198070015,-0.011536639550804282,0.1414716849403732,-0.08154733970735337,-0.8432543872389525,-1.5613248259938728,N/A (non-positive Sharpe: one-sided H1 has nothing positive to detect),NA,NA,NA
mom_lottery -- NET,633,-0.049717156053940115,0.005932019959980368,0.21953030994838865,0.02702141659333957,-0.9880946106112876,-5.660283219454187,UNDERPOWERED,0.07372784364066419,8467.523122998695,NA
mom_nonlottery -- NET,633,-0.02782424277150275,-0.020319879935664004,0.12515090428816625,-0.16236302926646426,-0.8583702274291807,0.13568948886105878,N/A (non-positive Sharpe: one-sided H1 has nothing positive to detect),NA,NA,NA
