"yr","n_entries","n_exits"
1925,501,0
1926,64,11
1927,56,12
1928,65,18
1929,112,21
1930,45,25
1931,14,24
1932,2,31
1933,14,16
1934,8,11
1935,30,18
1936,40,17
1937,45,5
1938,12,17
1939,18,15
1940,21,11
1941,14,5
1942,8,5
1943,19,10
1944,27,11
1945,31,5
1946,57,5
1947,38,4
1948,26,3
1949,29,5
1950,29,6
1951,24,4
1952,19,5
1953,17,17
1954,17,10
1955,29,27
1956,22,21
1957,45,26
1958,19,21
1959,37,18
1960,54,25
1961,55,27
1962,948,43
1963,113,89
1964,129,75
1965,128,81
1966,111,91
1967,135,125
1968,170,141
1969,215,101
1970,181,48
1971,197,68
1972,3198,57
1973,249,442
1974,79,273
1975,136,198
1976,199,180
1977,163,230
1978,210,267
1979,229,290
1980,475,287
1981,668,274
1982,496,346
1983,1000,393
1984,634,376
1985,627,611
1986,1031,608
1987,998,562
1988,537,605
1989,460,741
1990,452,620
1991,599,518
1992,813,571
1993,1148,491
1994,937,373
1995,884,541
1996,1200,635
1997,884,627
1998,684,874
1999,765,1076
2000,778,1069
2001,316,997
2002,302,922
2003,271,663
2004,462,531
2005,481,466
2006,546,483
2007,730,487
2008,321,639
2009,295,536
2010,478,492
2011,471,420
2012,415,471
2013,504,362
2014,626,387
2015,586,362
2016,443,469
2017,580,500
2018,668,494
2019,576,480
2020,825,499
2021,1720,399
2022,829,568
2023,804,827
2024,1098,5387
2025,0,573
2026,0,4947
