"yyyymm","n_permno"
192512,501
192601,520
192602,530
192603,534
192604,537
192605,541
192606,540
192607,543
192608,545
192609,546
192610,550
192611,552
192612,556
192701,559
192702,559
192703,560
192704,561
192705,566
192706,571
192707,575
192708,577
192709,591
192710,593
192711,597
192712,598
192801,604
192802,603
192803,605
192804,605
192805,607
192806,610
192807,615
192808,615
192809,621
192810,629
192811,639
192812,646
192901,654
192902,659
192903,662
192904,675
192905,691
192906,694
192907,706
192908,716
192909,723
192910,732
192911,733
192912,737
193001,741
193002,741
193003,749
193004,759
193005,756
193006,761
193007,764
193008,757
193009,757
193010,756
193011,756
193012,756
193101,757
193102,754
193103,753
193104,753
193105,752
193106,753
193107,754
193108,750
193109,749
193110,752
193111,749
193112,750
193201,746
193202,746
193203,747
193204,741
193205,735
193206,733
193207,733
193208,726
193209,725
193210,722
193211,722
193212,721
193301,717
193302,717
193303,716
193304,713
193305,714
193306,714
193307,713
193308,709
193309,713
193310,713
193311,715
193312,716
193401,715
193402,714
193403,714
193404,716
193405,717
193406,715
193407,715
193408,715
193409,718
193410,718
193411,713
193412,712
193501,712
193502,711
193503,711
193504,713
193505,715
193506,714
193507,719
193508,713
193509,716
193510,713
193511,717
193512,725
193601,725
193602,729
193603,731
193604,736
193605,736
193606,736
193607,738
193608,740
193609,739
193610,740
193611,746
193612,751
193701,754
193702,757
193703,762
193704,765
193705,765
193706,771
193707,774
193708,782
193709,784
193710,785
193711,785
193712,787
193801,790
193802,790
193803,791
193804,794
193805,794
193806,792
193807,792
193808,791
193809,787
193810,787
193811,787
193812,787
193901,782
193902,783
193903,783
193904,784
193905,783
193906,786
193907,789
193908,783
193909,784
193910,782
193911,783
193912,785
194001,789
194002,788
194003,790
194004,791
194005,793
194006,792
194007,795
194008,795
194009,795
194010,795
194011,797
194012,798
194101,797
194102,799
194103,801
194104,802
194105,802
194106,802
194107,804
194108,803
194109,804
194110,804
194111,804
194112,804
194201,805
194202,805
194203,808
194204,809
194205,809
194206,809
194207,810
194208,809
194209,809
194210,809
194211,808
194212,807
194301,808
194302,809
194303,808
194304,808
194305,807
194306,807
194307,811
194308,812
194309,813
194310,816
194311,818
194312,819
194401,820
194402,822
194403,822
194404,823
194405,824
194406,823
194407,826
194408,827
194409,830
194410,829
194411,829
194412,834
194501,835
194502,834
194503,837
194504,838
194505,843
194506,845
194507,847
194508,849
194509,850
194510,852
194511,856
194512,859
194601,865
194602,867
194603,870
194604,874
194605,882
194606,884
194607,894
194608,899
194609,901
194610,903
194611,906
194612,910
194701,914
194702,916
194703,920
194704,919
194705,921
194706,926
194707,930
194708,933
194709,933
194710,936
194711,940
194712,944
194801,949
194802,950
194803,954
194804,958
194805,958
194806,961
194807,964
194808,964
194809,967
194810,966
194811,967
194812,967
194901,970
194902,975
194903,977
194904,981
194905,983
194906,985
194907,988
194908,988
194909,991
194910,993
194911,994
194912,993
195001,993
195002,995
195003,998
195004,998
195005,1002
195006,1004
195007,1010
195008,1011
195009,1015
195010,1015
195011,1015
195012,1017
195101,1018
195102,1020
195103,1022
195104,1025
195105,1026
195106,1029
195107,1029
195108,1029
195109,1029
195110,1029
195111,1033
195112,1034
195201,1036
195202,1037
195203,1038
195204,1038
195205,1038
195206,1040
195207,1041
195208,1041
195209,1049
195210,1050
195211,1048
195212,1048
195301,1049
195302,1049
195303,1049
195304,1049
195305,1051
195306,1050
195307,1050
195308,1048
195309,1048
195310,1045
195311,1049
195312,1048
195401,1048
195402,1048
195403,1048
195404,1051
195405,1049
195406,1049
195407,1052
195408,1053
195409,1054
195410,1054
195411,1051
195412,1055
195501,1059
195502,1060
195503,1057
195504,1057
195505,1057
195506,1059
195507,1063
195508,1062
195509,1062
195510,1059
195511,1060
195512,1061
195601,1058
195602,1059
195603,1061
195604,1062
195605,1062
195606,1061
195607,1063
195608,1059
195609,1061
195610,1060
195611,1058
195612,1060
195701,1062
195702,1063
195703,1065
195704,1068
195705,1075
195706,1075
195707,1083
195708,1081
195709,1078
195710,1080
195711,1084
195712,1083
195801,1079
195802,1079
195803,1080
195804,1078
195805,1077
195806,1079
195807,1079
195808,1076
195809,1077
195810,1073
195811,1073
195812,1076
195901,1077
195902,1076
195903,1080
195904,1081
195905,1081
195906,1084
195907,1090
195908,1089
195909,1090
195910,1095
195911,1094
195912,1095
196001,1097
196002,1100
196003,1104
196004,1106
196005,1107
196006,1113
196007,1121
196008,1124
196009,1127
196010,1128
196011,1126
196012,1127
196101,1128
196102,1128
196103,1127
196104,1130
196105,1132
196106,1137
196107,1141
196108,1138
196109,1143
196110,1150
196111,1153
196112,1154
196201,1157
196202,1159
196203,1159
196204,1160
196205,1161
196206,1165
196207,2055
196208,2055
196209,2060
196210,2062
196211,2062
196212,2066
196301,2066
196302,2062
196303,2060
196304,2067
196305,2076
196306,2080
196307,2087
196308,2080
196309,2081
196310,2085
196311,2087
196312,2092
196401,2093
196402,2099
196403,2102
196404,2110
196405,2119
196406,2123
196407,2137
196408,2129
196409,2139
196410,2137
196411,2138
196412,2142
196501,2144
196502,2152
196503,2153
196504,2157
196505,2161
196506,2172
196507,2181
196508,2183
196509,2183
196510,2182
196511,2186
196512,2187
196601,2190
196602,2186
196603,2181
196604,2184
196605,2194
196606,2190
196607,2207
196608,2206
196609,2209
196610,2208
196611,2214
196612,2212
196701,2209
196702,2212
196703,2211
196704,2213
196705,2217
196706,2216
196707,2225
196708,2212
196709,2221
196710,2222
196711,2225
196712,2228
196801,2224
196802,2223
196803,2232
196804,2241
196805,2243
196806,2241
196807,2253
196808,2227
196809,2235
196810,2241
196811,2244
196812,2251
196901,2257
196902,2267
196903,2278
196904,2286
196905,2300
196906,2300
196907,2320
196908,2331
196909,2344
196910,2348
196911,2355
196912,2366
197001,2369
197002,2391
197003,2403
197004,2413
197005,2424
197006,2426
197007,2439
197008,2441
197009,2455
197010,2469
197011,2486
197012,2494
197101,2503
197102,2509
197103,2515
197104,2530
197105,2552
197106,2535
197107,2551
197108,2563
197109,2577
197110,2585
197111,2604
197112,2617
197201,2634
197202,2652
197203,2666
197204,2680
197205,2701
197206,2690
197207,2707
197208,2720
197209,2736
197210,2751
197211,2769
197212,5765
197301,5812
197302,5837
197303,5836
197304,5817
197305,5800
197306,5743
197307,5754
197308,5702
197309,5682
197310,5675
197311,5665
197312,5618
197401,5566
197402,5558
197403,5555
197404,5554
197405,5550
197406,5488
197407,5489
197408,5460
197409,5434
197410,5422
197411,5410
197412,5390
197501,5376
197502,5360
197503,5353
197504,5347
197505,5344
197506,5326
197507,5338
197508,5330
197509,5322
197510,5323
197511,5322
197512,5316
197601,5328
197602,5328
197603,5330
197604,5340
197605,5345
197606,5316
197607,5315
197608,5318
197609,5323
197610,5339
197611,5336
197612,5340
197701,5345
197702,5338
197703,5337
197704,5340
197705,5338
197706,5323
197707,5308
197708,5289
197709,5283
197710,5281
197711,5279
197712,5275
197801,5275
197802,5271
197803,5264
197804,5274
197805,5284
197806,5245
197807,5213
197808,5210
197809,5221
197810,5228
197811,5218
197812,5217
197901,5228
197902,5225
197903,5230
197904,5231
197905,5240
197906,5189
197907,5153
197908,5137
197909,5132
197910,5134
197911,5147
197912,5160
198001,5197
198002,5213
198003,5223
198004,5226
198005,5236
198006,5206
198007,5204
198008,5217
198009,5250
198010,5285
198011,5313
198012,5353
198101,5400
198102,5425
198103,5460
198104,5524
198105,5578
198106,5576
198107,5604
198108,5632
198109,5657
198110,5689
198111,5718
198112,5747
198201,5759
198202,5767
198203,5771
198204,5766
198205,5765
198206,5701
198207,5687
198208,5678
198209,5677
198210,5671
198211,5874
198212,5898
198301,5933
198302,5953
198303,5994
198304,6033
198305,6079
198306,6075
198307,6128
198308,6200
198309,6255
198310,6329
198311,6408
198312,6520
198401,6566
198402,6613
198403,6663
198404,6694
198405,6728
198406,6743
198407,6688
198408,6695
198409,6713
198410,6729
198411,6756
198412,6780
198501,6788
198502,6790
198503,6807
198504,6799
198505,6829
198506,6822
198507,6718
198508,6720
198509,6743
198510,6769
198511,6807
198512,6834
198601,6805
198602,6821
198603,6854
198604,6871
198605,6937
198606,6994
198607,6954
198608,6977
198609,7024
198610,7092
198611,7167
198612,7237
198701,7270
198702,7326
198703,7405
198704,7439
198705,7519
198706,7572
198707,7524
198708,7572
198709,7635
198710,7660
198711,7649
198712,7658
198801,7642
198802,7656
198803,7663
198804,7661
198805,7681
198806,7668
198807,7556
198808,7557
198809,7565
198810,7582
198811,7596
198812,7600
198901,7598
198902,7595
198903,7585
198904,7581
198905,7594
198906,7546
198907,7360
198908,7327
198909,7326
198910,7307
198911,7330
198912,7342
199001,7322
199002,7329
199003,7351
199004,7354
199005,7383
199006,7350
199007,7213
199008,7200
199009,7191
199010,7158
199011,7156
199012,7150
199101,7128
199102,7130
199103,7137
199104,7134
199105,7161
199106,7149
199107,7063
199108,7082
199109,7102
199110,7138
199111,7181
199112,7220
199201,7248
199202,7292
199203,7375
199204,7386
199205,7419
199206,7422
199207,7345
199208,7307
199209,7329
199210,7368
199211,7412
199212,7476
199301,7507
199302,7554
199303,7629
199304,7671
199305,7730
199306,7770
199307,7700
199308,7746
199309,7826
199310,7891
199311,7998
199312,8124
199401,8168
199402,8243
199403,8332
199404,8385
199405,8461
199406,8518
199407,8464
199408,8516
199409,8546
199410,8597
199411,8649
199412,8684
199501,8701
199502,8738
199503,8768
199504,8808
199505,8847
199506,8828
199507,8714
199508,8773
199509,8809
199510,8867
199511,8957
199512,9028
199601,9063
199602,9124
199603,9230
199604,9307
199605,9425
199606,9390
199607,9237
199608,9289
199609,9333
199610,9444
199611,9544
199612,9591
199701,9643
199702,9695
199703,9716
199704,9743
199705,9790
199706,9758
199707,9616
199708,9630
199709,9669
199710,9729
199711,9816
199712,9849
199801,9918
199802,9958
199803,9992
199804,10020
199805,10073
199806,9981
199807,9701
199808,9690
199809,9681
199810,9658
199811,9671
199812,9712
199901,9758
199902,9775
199903,9783
199904,9783
199905,9814
199906,9692
199907,9278
199908,9281
199909,9310
199910,9318
199911,9357
199912,9382
200001,9438
200002,9492
200003,9531
200004,9533
200005,9569
200006,9480
200007,9045
200008,9075
200009,9092
200010,9083
200011,9092
200012,9080
200101,9103
200102,9107
200103,9102
200104,9055
200105,9042
200106,8902
200107,8457
200108,8429
200109,8415
200110,8399
200111,8417
200112,8396
200201,8388
200202,8386
200203,8382
200204,8365
200205,8368
200206,8219
200207,7754
200208,7734
200209,7736
200210,7728
200211,7761
200212,7760
200301,7766
200302,7770
200303,7763
200304,7742
200305,7746
200306,7688
200307,7329
200308,7325
200309,7337
200310,7323
200311,7344
200312,7361
200401,7423
200402,7458
200403,7467
200404,7473
200405,7496
200406,7473
200407,7197
200408,7193
200409,7204
200410,7227
200411,7253
200412,7283
200501,7346
200502,7370
200503,7382
200504,7388
200505,7415
200506,7365
200507,7194
200508,7208
200509,7226
200510,7239
200511,7268
200512,7292
200601,7359
200602,7381
200603,7406
200604,7415
200605,7449
200606,7445
200607,7213
200608,7207
200609,7248
200610,7287
200611,7325
200612,7357
200701,7460
200702,7521
200703,7565
200704,7590
200705,7652
200706,7613
200707,7407
200708,7424
200709,7440
200710,7492
200711,7546
200712,7598
200801,7629
200802,7647
200803,7643
200804,7642
200805,7677
200806,7610
200807,7316
200808,7294
200809,7302
200810,7265
200811,7285
200812,7291
200901,7308
200902,7311
200903,7292
200904,7287
200905,7293
200906,7219
200907,6971
200908,6952
200909,6974
200910,6981
200911,7019
200912,7041
201001,7099
201002,7119
201003,7150
201004,7169
201005,7191
201006,7141
201007,6937
201008,6949
201009,6975
201010,6972
201011,6998
201012,7030
201101,7081
201102,7113
201103,7142
201104,7169
201105,7225
201106,7210
201107,7017
201108,7017
201109,7043
201110,7039
201111,7065
201112,7087
201201,7136
201202,7188
201203,7210
201204,7226
201205,7245
201206,7202
201207,7033
201208,7031
201209,7008
201210,7028
201211,6996
201212,7017
201301,7080
201302,7106
201303,7109
201304,7125
201305,7154
201306,7149
201307,7011
201308,7031
201309,7062
201310,7104
201311,7137
201312,7151
201401,7254
201402,7290
201403,7328
201404,7349
201405,7390
201406,7400
201407,7301
201408,7320
201409,7340
201410,7371
201411,7395
201412,7412
201501,7456
201502,7467
201503,7497
201504,7519
201505,7561
201506,7577
201507,7506
201508,7534
201509,7547
201510,7569
201511,7598
201512,7626
201601,7655
201602,7664
201603,7680
201604,7694
201605,7713
201606,7679
201607,7534
201608,7537
201609,7560
201610,7565
201611,7578
201612,7596
201701,7667
201702,7683
201703,7716
201704,7729
201705,7767
201706,7758
201707,7559
201708,7539
201709,7578
201710,7577
201711,7646
201712,7678
201801,7733
201802,7776
201803,7813
201804,7879
201805,7853
201806,7836
201807,7708
201808,7720
201809,7748
201810,7791
201811,7827
201812,7858
201901,7898
201902,7916
201903,7930
201904,7959
201905,8029
201906,8005
201907,7855
201908,7841
201909,7874
201910,7906
201911,7931
201912,7957
202001,8003
202002,8039
202003,8007
202004,8005
202005,8035
202006,8035
202007,7918
202008,7954
202009,8014
202010,8103
202011,8169
202012,8271
202101,8433
202102,8536
202103,8721
202104,8871
202105,8984
202106,9087
202107,9071
202108,9127
202109,9234
202110,9359
202111,9454
202112,9598
202201,9729
202202,9808
202203,9863
202204,9911
202205,9937
202206,9924
202207,9812
202208,9839
202209,9871
202210,9903
202211,9915
202212,9939
202301,9904
202302,9910
202303,9929
202304,9902
202305,9906
202306,9856
202307,9713
202308,9684
202309,9749
202310,9812
202311,9835
202312,9866
202401,9918
202402,9929
202403,9945
202404,9968
202405,10018
202406,10026
202407,9837
202408,9858
202409,9978
202410,10040
202411,10089
202412,10175
202501,5268
202502,5269
202503,5282
202504,5277
202505,5276
202506,5449
202507,5196
202508,5186
202509,5199
202510,5188
202511,5183
202512,5145
202601,4947
202602,4917
202603,4858
202604,4684
202605,4639
202606,3866
202607,390
202608,274
202609,225
202610,64
202611,27
