"yr","n_obs","n_permno"
1925,501,501
1926,6494,565
1927,6907,610
1928,7399,663
1929,8382,757
1930,9053,781
1931,9026,770
1932,8797,748
1933,8570,731
1934,8582,723
1935,8579,742
1936,8847,764
1937,9271,792
1938,9482,799
1939,9407,800
1940,9518,806
1941,9626,809
1942,9697,812
1943,9736,826
1944,9909,843
1945,10145,863
1946,10655,915
1947,11132,948
1948,11525,970
1949,11818,996
1950,12073,1020
1951,12323,1038
1952,12504,1053
1953,12585,1065
1954,12612,1065
1955,12716,1084
1956,12724,1079
1957,12897,1103
1958,12926,1096
1959,13032,1112
1960,13380,1148
1961,13661,1178
1962,19321,2099
1963,24923,2169
1964,25468,2209
1965,26041,2262
1966,26381,2292
1967,26611,2336
1968,26855,2381
1969,27752,2454
1970,29210,2534
1971,30641,2683
1972,35471,5813
1973,68941,6005
1974,65876,5642
1975,64057,5505
1976,63958,5506
1977,63736,5489
1978,62920,5469
1979,62206,5431
1980,62923,5616
1981,67010,5997
1982,69014,6219
1983,73907,6874
1984,80368,7115
1985,81426,7366
1986,83733,7786
1987,90229,8176
1988,91427,8151
1989,89491,8006
1990,87157,7717
1991,85625,7696
1992,88379,7991
1993,93146,8568
1994,101563,9014
1995,105838,9525
1996,111977,10184
1997,116654,10433
1998,118055,10490
1999,114531,10381
2000,111510,10083
2001,104824,9330
2002,96581,8635
2003,90494,7984
2004,88147,7783
2005,87693,7733
2006,88092,7813
2007,90308,8060
2008,89601,7894
2009,85648,7550
2010,84730,7492
2011,85208,7471
2012,85320,7466
2013,85219,7499
2014,88150,7763
2015,90457,7962
2016,91455,8043
2017,91897,8154
2018,93542,8322
2019,95101,8404
2020,96553,8749
2021,108475,9970
2022,118451,10400
2023,118066,10636
2024,119781,10907
2025,62918,5520
2026,28891,4947
