pair,interval_min,uncompressed_bytes,archive_dir,member_date
ADAUSD,1,127510368,master_q4,01-24-2026
ADAUSD,5,40102349,master_q4,01-24-2026
ADAUSD,15,15330284,master_q4,01-24-2026
ADAUSD,30,2006412,master_q4,01-24-2026
ADAUSD,60,4171378,master_q4,01-24-2026
ADAUSD,240,299839,master_q4,01-24-2026
ADAUSD,720,363698,master_q4,01-24-2026
ADAUSD,1440,182546,master_q4,01-24-2026
AUDJPY,1,586163,master_q4,01-24-2026
AUDJPY,5,496681,master_q4,01-24-2026
AUDJPY,15,427755,master_q4,01-24-2026
AUDJPY,30,132563,master_q4,01-24-2026
AUDJPY,60,329119,master_q4,01-24-2026
AUDJPY,240,93694,master_q4,01-24-2026
AUDJPY,720,122651,master_q4,01-24-2026
AUDJPY,1440,78292,master_q4,01-24-2026
AUDUSD,1,40584605,master_q4,01-24-2026
AUDUSD,5,19858816,master_q4,01-24-2026
AUDUSD,15,9228125,master_q4,01-24-2026
AUDUSD,30,1787799,master_q4,01-24-2026
AUDUSD,60,2748000,master_q4,01-24-2026
AUDUSD,240,275249,master_q4,01-24-2026
AUDUSD,720,255788,master_q4,01-24-2026
AUDUSD,1440,130137,master_q4,01-24-2026
ETHUSD,1,222926967,master_q4,01-24-2026
ETHUSD,5,54252872,master_q4,01-24-2026
ETHUSD,15,19278275,master_q4,01-24-2026
ETHUSD,30,1810438,master_q4,01-24-2026
ETHUSD,60,5097630,master_q4,01-24-2026
ETHUSD,240,268728,master_q4,01-24-2026
ETHUSD,720,460744,master_q4,01-24-2026
ETHUSD,1440,235628,master_q4,01-24-2026
EURAUD,1,6656475,master_q4,01-24-2026
EURAUD,5,4584333,master_q4,01-24-2026
EURAUD,15,3200492,master_q4,01-24-2026
EURAUD,30,563902,master_q4,01-24-2026
EURAUD,60,1652559,master_q4,01-24-2026
EURAUD,240,209242,master_q4,01-24-2026
EURAUD,720,236733,master_q4,01-24-2026
EURAUD,1440,122007,master_q4,01-24-2026
EURCAD,1,5633389,master_q4,01-24-2026
EURCAD,5,3933016,master_q4,01-24-2026
EURCAD,15,2777725,master_q4,01-24-2026
EURCAD,30,603985,master_q4,01-24-2026
EURCAD,60,1490630,master_q4,01-24-2026
EURCAD,240,211247,master_q4,01-24-2026
EURCAD,720,242270,master_q4,01-24-2026
EURCAD,1440,126772,master_q4,01-24-2026
EURCHF,1,53774051,master_q4,01-24-2026
EURCHF,5,21937879,master_q4,01-24-2026
EURCHF,15,9685702,master_q4,01-24-2026
EURCHF,30,1718491,master_q4,01-24-2026
EURCHF,60,2871579,master_q4,01-24-2026
EURCHF,240,271276,master_q4,01-24-2026
EURCHF,720,267534,master_q4,01-24-2026
EURCHF,1440,135808,master_q4,01-24-2026
EURGBP,1,57248488,master_q4,01-24-2026
EURGBP,5,24386802,master_q4,01-24-2026
EURGBP,15,10432784,master_q4,01-24-2026
EURGBP,30,1829329,master_q4,01-24-2026
EURGBP,60,2968114,master_q4,01-24-2026
EURGBP,240,277715,master_q4,01-24-2026
EURGBP,720,271322,master_q4,01-24-2026
EURGBP,1440,137537,master_q4,01-24-2026
EURJPY,1,2424548,master_q4,01-24-2026
EURJPY,5,1850254,master_q4,01-24-2026
EURJPY,15,1449340,master_q4,01-24-2026
EURJPY,30,396422,master_q4,01-24-2026
EURJPY,60,933511,master_q4,01-24-2026
EURJPY,240,182440,master_q4,01-24-2026
